   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              1,         0,           0,          4
   1,             0,               0,              0,         0,           0,          0
   2,             1,               0,              7,         1,           0,         10
   3,             3,               2,              9,         3,           0,         15
   4,             4,               2,              8,         5,           0,         11
   5,             5,               2,              5,         6,           0,         12
   6,             6,               2,              5,         8,           0,         16
   7,             7,               2,              6,        10,           0,         19
   8,             8,               2,              7,        13,           0,         24
   9,             9,               2,              6,        14,           0,         25
  10,            10,               2,              7,        16,           0,         26
  11,            11,               2,              7,        18,           0,         30
  12,            13,               3,              9,        21,           0,         35
  13,            14,               3,             11,        24,           0,         37
  14,            15,               3,             12,        26,           0,         41
  15,            16,               3,             12,        30,           0,         44
  16,            17,               3,             12,        33,           0,         47
  17,            19,               4,             14,        34,           0,         51
  18,            20,               4,             14,        38,           0,         56
  19,            21,               4,             15,        40,           0,         58
  20,            23,               5,             15,        41,           0,         61
  21,            25,               6,             18,        45,           0,         66
  22,            26,               6,             18,        50,           0,         71
  23,            27,               6,             19,        51,           0,         72
  24,            28,               6,             20,        55,           0,         77
  25,            29,               6,             20,        57,           0,         81
  26,            31,               7,             22,        62,           0,         85
  27,            33,               8,             22,        65,           0,         90
  28,            36,              10,             26,        67,           0,         92
  29,            37,              10,             26,        73,           0,         98
  30,            38,              10,             28,        77,           0,        101
  31,            40,              11,             29,        81,           0,        108
  32,            41,              11,             29,        85,           0,        111
  33,            42,              11,             49,        86,           0,        116
  34,            43,              11,             30,        89,           0,        116
  35,            45,              12,             31,        90,           0,        122
  36,            46,              12,             33,        95,           0,        124
  37,            47,              12,             31,        98,           0,        130
  38,            48,              12,             35,       101,           0,        134
  39,            49,              12,             34,       105,           0,        138
  40,            51,              13,             35,       107,           0,        140
  41,            52,              13,             36,       110,           0,        145
  42,            53,              13,             36,       112,           0,        149
  43,            54,              13,             36,       116,           0,        155
  44,            55,              13,             36,       121,           0,        158
  45,            56,              13,             38,       125,           0,        162
  46,            57,              13,             37,       125,           0,        167
  47,            59,              14,             41,       131,           0,        174
  48,            61,              15,             41,       137,           0,        178
  49,            62,              15,             41,       139,           0,        180
  50,            63,              15,             43,       142,           0,        183
  51,            65,              16,             44,       145,           0,        190
  52,            67,              17,             46,       152,           0,        192
  53,            70,              19,             49,       156,           0,        196
  54,            73,              21,             51,       160,           0,        200
  55,            74,              21,             51,       165,           0,        205
  56,            75,              21,             51,       163,           0,        206
  57,            76,              21,             52,       165,           0,        272
  58,            77,              21,            177,       179,           0,        322
  59,            78,              21,             56,       180,           0,        389
  60,            79,              21,            210,       184,           0,        257
  61,            80,              21,             57,       187,           0,        288
  62,            81,              21,            106,       194,           0,        341
  63,            82,              21,             59,       198,           0,        280
  64,            84,              22,             61,       202,           0,        251
  65,            85,              22,             60,       204,           0,        256
  66,            86,              22,            165,       205,           0,        267
  67,            87,              22,             61,       209,           0,        262
  68,            89,              23,             61,       214,           0,        265
  69,            92,              25,             65,       216,           0,        270
  70,            96,              28,             69,       219,           0,        468
  71,           100,              31,            101,       220,           0,        506
  72,           101,              31,            199,       230,           0,        336
  73,           102,              31,             76,       230,           0,        298
  74,           103,              31,             77,       237,           0,        429
  75,           104,              31,            144,       240,           0,        397
  76,           105,              31,             81,       239,           0,        319
  77,           106,              31,             77,       245,           0,        513
  78,           108,              32,             94,       250,           0,        318
  79,           111,              34,             81,       254,           0,        452
  80,           112,              34,             97,       262,           0,        567
  81,           113,              34,             84,       262,           0,        329
  82,           114,              34,             81,       263,           0,        328
  83,           116,              35,             83,       271,           0,        379
  84,           117,              35,             84,       270,           0,        339
  85,           120,              37,             86,       274,           0,        343
  86,           124,              40,             89,       280,           0,        348
  87,           125,              40,             91,       285,           0,        352
  88,           126,              40,             90,       291,           0,        420
  89,           127,              40,             94,       294,           0,        374
  90,           128,              40,             91,       302,           0,        380
  91,           130,              41,             96,       304,           0,        765
  92,           131,              41,            252,       307,           0,        598
  93,           132,              41,             98,       310,           0,        386
  94,           133,              41,             95,       314,           0,        388
  95,           134,              41,             96,       320,           0,        391
  96,           135,              41,             97,       326,           0,        397
  97,           139,              44,             98,       329,           0,        406
  98,           144,              48,            105,       333,           0,        405
  99,           145,              48,            105,       340,           0,        411
 100,           146,              48,            105,       343,           0,        415
 101,           147,              48,            105,       346,           0,        418
 102,           148,              48,            106,       349,           0,        429
 103,           149,              48,            106,       354,           0,        427
 104,           150,              48,            108,       357,           0,        576
 105,           151,              48,            231,       359,           0,        655
 106,           152,              48,            113,       364,           0,        605
 107,           154,              49,            114,       366,           0,        447
 108,           156,              50,            113,       380,           0,        456
 109,           160,              53,            118,       381,           0,        459
 110,           163,              55,            118,       388,           0,        463
 111,           164,              55,            124,       391,           0,        540
 112,           165,              55,            121,       389,           0,        469
 113,           167,              56,            121,       391,           0,        473
 114,           169,              57,            139,       397,           0,        479
 115,           173,              60,            126,       400,           0,        482
 116,           174,              60,            197,       421,           0,        530
 117,           175,              60,            130,       420,           0,        499
 118,           176,              60,            133,       422,           0,        529
 119,           179,              62,            136,       425,           0,        503
 120,           180,              62,            135,       437,           0,        510
 121,           181,              62,            133,       438,           0,        517
 122,           182,              62,            131,       442,           0,        521
 123,           183,              62,            133,       447,           0,        525
 124,           184,              62,            133,       455,           0,        540
 125,           185,              62,            134,       457,           0,        544
