   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              0,         0,           0,          2
   1,             0,               0,              0,         0,           0,          0
   2,             1,               0,              3,         1,           0,          5
   3,             3,               1,              5,         2,           0,          8
   4,             4,               1,              4,         5,           0,         10
   5,             8,               4,             13,         8,           0,         62
   6,            11,               6,             11,        10,           0,         23
   7,            16,              10,             20,        13,           0,         39
   8,            20,              13,             36,        16,           0,         48
   9,            26,              18,             27,        19,           0,         56
  10,            28,              19,             51,        25,           0,         64
  11,            30,              20,             51,        27,           0,         39
  12,            33,              22,             32,        28,           0,         40
  13,            34,              22,             32,        32,           0,         43
  14,            42,              29,             39,        38,           0,         51
  15,            51,              37,             49,        42,           0,         55
  16,            62,              47,             61,        46,           0,        104
  17,            78,              62,            138,        51,           0,        149
  18,            91,              74,            157,        53,           0,         76
  19,            96,              78,             97,        59,           0,         73
  20,           110,              91,            110,        66,           0,         77
  21,           128,             108,            129,        72,           0,         86
  22,           131,             110,            131,        75,           0,         88
  23,           132,             110,            131,        76,           0,         92
  24,           154,             131,            154,        80,           0,         97
  25,           176,             152,            179,        84,           0,         99
  26,           189,             164,            192,        92,           0,        106
  27,           213,             187,            216,        95,           0,        109
  28,           235,             208,            238,       104,           0,        116
  29,           250,             222,            256,       108,           0,        123
  30,           266,             237,            274,       113,           0,        249
  31,           275,             245,            288,       117,           0,        147
  32,           286,             255,            325,       120,           0,        141
  33,           312,             280,            325,       126,           0,        155
  34,           342,             309,            368,       133,           0,        158
  35,           373,             339,            396,       136,           0,        159
  36,           385,             350,            404,       145,           0,        162
  37,           414,             378,            435,       147,           0,        169
  38,           437,             400,            785,       152,           0,        304
  39,           457,             419,           1060,       160,           0,        406
  40,           482,             443,            735,       169,           0,        292
  41,           513,             473,            711,       175,           0,        442
  42,           535,             494,            821,       178,           0,        211
  43,           573,             531,            734,       183,           0,        355
  44,           580,             537,           1085,       193,           0,        238
  45,           618,             574,            767,       199,           0,        221
  46,           622,             577,            688,       197,           0,        215
  47,           656,             610,            701,       200,           0,        355
  48,           692,             645,            748,       206,           0,        226
  49,           720,             672,            759,       212,           0,        231
  50,           735,             686,            791,       219,           0,        237
  51,           776,             726,            818,       229,           0,        245
  52,           789,             738,            834,       232,           0,        247
  53,           791,             739,            890,       236,           0,        268
  54,           832,             779,           1319,       244,           0,        291
  55,           863,             809,            998,       248,           0,        275
  56,           882,             827,           1116,       263,           0,        290
  57,           896,             840,           2024,       267,           0,        643
  58,           906,             849,            967,       267,           0,        288
  59,           947,             889,           1006,       280,           0,        292
  60,           960,             901,           1021,       287,           0,        298
  61,          1020,             961,           1085,       289,           0,        303
  62,          1042,             982,           1120,       297,           0,        305
  63,          1058,             997,           1124,       303,           0,        318
  64,          1060,             998,           1495,       309,           0,        382
  65,          1094,            1031,           1295,       316,           0,        335
  66,          1104,            1040,           1205,       318,           0,        332
  67,          1130,            1065,           1350,       325,           0,        350
  68,          1183,            1117,           1288,       335,           0,        349
  69,          1184,            1117,           1286,       339,           0,        352
  70,          1225,            1157,           1340,       343,           0,        356
  71,          1255,            1186,           1356,       350,           0,        362
  72,          1305,            1235,           1462,       361,           0,        372
  73,          1375,            1304,           1472,       368,           0,        377
  74,          1406,            1334,           1549,       370,           0,        390
  75,          1471,            1398,           1696,       373,           0,        394
  76,          1539,            1465,           1661,       382,           0,        400
  77,          1570,            1495,           1688,       390,           0,        409
  78,          1608,            1532,           1730,       397,           0,        409
  79,          1650,            1573,           1771,       402,           0,        415
  80,          1707,            1629,           1844,       413,           0,        424
  81,          1762,            1683,           1905,       418,           0,        432
  82,          1808,            1728,           1945,       423,           0,        443
  83,          1852,            1771,           1990,       431,           0,        452
  84,          1929,            1847,           2079,       436,           0,        448
  85,          1976,            1893,           2126,       439,           0,        453
  86,          1985,            1901,           2146,       452,           0,        468
  87,          2065,            1980,           2231,       464,           0,        472
  88,          2115,            2029,           2284,       473,           0,        476
  89,          2169,            2082,           2332,       477,           0,        478
  90,          2223,            2135,           2476,       484,           0,        497
  91,          2267,            2178,           2437,       492,           0,        501
  92,          2326,            2236,           2511,       487,           0,        494
  93,          2333,            2242,           2503,       492,           0,        499
  94,          2426,            2335,           2623,       497,           0,        501
  95,          2504,            2412,           2825,       504,           0,        514
  96,          2518,            2425,           2779,       509,           0,        516
  97,          2576,            2482,           2838,       516,           0,        523
  98,          2578,            2483,           2860,       524,           0,        530
  99,          2633,            2537,           2891,       535,           0,        536
 100,          2660,            2563,           2957,       544,           0,        544
 101,          2740,            2642,           2948,       550,           0,        552
 102,          2808,            2709,           3034,       559,           0,        560
 103,          2812,            2712,           3079,       564,           0,        564
 104,          2915,            2815,           3170,       574,           0,        574
 105,          2928,            2827,           3152,       582,           0,        580
 106,          3010,            2908,           3363,       581,           0,        587
 107,          3015,            2912,           3250,       585,           0,        583
 108,          3020,            2916,           3448,       597,           0,        604
 109,          3115,            3010,           3369,       602,           0,        603
 110,          3127,            3021,           3468,       606,           0,        614
 111,          3217,            3110,           3479,       608,           0,        610
 112,          3246,            3138,           3581,       629,           0,        625
 113,          3348,            3239,           3620,       637,           0,        642
 114,          3409,            3299,           3722,       640,           0,        637
 115,          3513,            3402,           3882,       656,           0,        717
 116,          3566,            3454,           3896,       657,           0,        653
 117,          3671,            3558,           3962,       664,           0,        658
 118,          3686,            3572,           3999,       671,           0,        663
 119,          3738,            3623,           4041,       684,           0,        675
 120,          3833,            3717,           4149,       686,           0,        676
 121,          3883,            3766,           4193,       693,           0,        685
 122,          3908,            3790,           4259,       697,           0,        687
 123,          3915,            3796,           4287,       708,           0,        695
 124,          4000,            3880,           4446,       713,           0,        697
 125,          4078,            3957,           4517,       720,           0,        705
 126,          4130,            4008,           4570,       729,           0,        712
 127,          4193,            4070,           4646,       734,           0,        719
 128,          4307,            4183,           4821,       742,           0,        728
 129,          4385,            4260,           4858,       750,           0,        741
 130,          4498,            4372,           5010,       752,           0,        741
 131,          4617,            4490,           5123,       759,           0,        755
 132,          4729,            4601,           5269,       764,           0,        755
 133,          4836,            4707,           5362,       774,           0,        772
 134,          4861,            4731,           5404,       778,           0,        767
 135,          4942,            4811,           5481,       790,           0,        781
 136,          5034,            4902,           5638,       797,           0,        790
 137,          5153,            5020,           5735,       807,           0,        797
 138,          5229,            5095,           5836,       814,           0,        799
 139,          5242,            5107,           5958,       818,           0,        804
 140,          5270,            5134,           5898,       824,           0,        810
 141,          5352,            5215,           5940,       833,           0,        818
 142,          5368,            5230,           5980,       838,           0,        830
 143,          5493,            5354,           6116,       849,           0,        831
 144,          5603,            5463,           6247,       861,           0,        844
 145,          5657,            5516,           6288,       866,           0,        846
 146,          5758,            5616,           6419,       876,           0,        857
 147,          5882,            5739,           6537,       882,           0,        860
 148,          5954,            5810,           6637,       885,           0,        961
 149,          6050,            5905,           6598,       893,           0,        890
 150,          6188,            6042,           6774,       894,           0,        879
 151,          6262,            6115,           6915,       901,           0,        911
 152,          6283,            6135,           6880,       911,           0,        902
 153,          6405,            6256,           7130,       921,           0,        907
 154,          6414,            6264,           7209,       929,           0,        910
 155,          6494,            6343,           7265,       933,           0,        913
 156,          6619,            6467,           7392,       951,           0,        926
 157,          6657,            6504,           7421,       960,           0,        935
 158,          6661,            6507,           7292,       961,           0,        937
 159,          6779,            6624,           7572,       971,           0,        946
 160,          6813,            6657,           7633,       983,           0,        952
 161,          6903,            6746,           7700,       990,           0,        961
 162,          7023,            6865,           7835,       999,           0,        971
 163,          7090,            6931,           7928,      1006,           0,        977
 164,          7132,            6972,           8002,      1009,           0,        982
 165,          7146,            6985,           7920,      1017,           0,       1002
 166,          7155,            6993,           7934,      1019,           0,       1010
 167,          7247,            7084,           8077,      1029,           0,       1004
 168,          7351,            7187,           8069,      1041,           0,       1013
 169,          7474,            7309,           8201,      1044,           0,       1027
 170,          7598,            7432,           8462,      1052,           0,       1028
 171,          7712,            7545,           8645,      1056,           0,       1033
 172,          7883,            7716,           8859,      1066,           0,       1036
 173,          7991,            7823,           8949,      1077,           0,       1047
 174,          8012,            7843,           8987,      1089,           0,       1055
 175,          8098,            7928,           9057,      1097,           0,       1062
 176,          8255,            8084,           9343,      1117,           0,       1083
 177,          8346,            8174,          10147,      1124,           0,       1112
 178,          8435,            8262,          10357,      1115,           0,       1280
 179,          8608,            8434,          10299,      1130,           0,       1338
 180,          8681,            8506,          10065,      1136,           0,       1120
 181,          8809,            8633,          10220,      1137,           0,       1156
 182,          8954,            8777,          11095,      1159,           0,       1138
 183,          9100,            8922,          10492,      1162,           0,       1148
 184,          9137,            8958,          10591,      1148,           0,       1129
 185,          9168,            8988,          10282,      1158,           0,       1131
 186,          9297,            9116,          10468,      1174,           0,       1136
 187,          9474,            9292,          10586,      1177,           0,       1145
 188,          9607,            9424,          10778,      1177,           0,       1139
 189,          9735,            9551,          11029,      1191,           0,       1156
 190,          9785,            9600,          11036,      1191,           0,       1153
 191,          9815,            9629,          10926,      1202,           0,       1172
 192,          9870,            9683,          11095,      1212,           0,       1181
 193,          9912,            9724,          11046,      1219,           0,       1185
 194,         10071,            9882,          11246,      1222,           0,       1457
 195,         10107,            9917,          11245,      1231,           0,       1196
 196,         10211,           10020,          11325,      1253,           0,       1229
 197,         10272,           10080,          11600,      1260,           0,       1446
